seed,experiment,variant,metric,value
31415,language_benchmark,alc_no_write,recall_mse,0.34382877
31415,language_benchmark,baseline,recall_acc,0.00000000
31415,language_benchmark,alc,recall_acc,0.01041667
31415,language_benchmark,alc_no_write,recall_acc,0.00000000
31415,tinyqa,baseline,qa_acc_delay_0,0.03333334
31415,tinyqa,alc,qa_acc_delay_0,0.03333334
31415,tinyqa,alc_no_write,qa_acc_delay_0,0.03333334
31415,tinyqa,baseline,qa_acc_delay_4,0.03333334
31415,tinyqa,alc,qa_acc_delay_4,0.06666667
31415,tinyqa,alc_no_write,qa_acc_delay_4,0.03333334
31415,tinyqa,baseline,delayed_qa_acc,0.03333334
31415,tinyqa,alc,delayed_qa_acc,0.06666667
31415,tinyqa,alc_no_write,delayed_qa_acc,0.03333334
31415,tinyqa,baseline,qa_acc_delay_8,0.03333334
31415,tinyqa,alc,qa_acc_delay_8,0.05000000
31415,tinyqa,alc_no_write,qa_acc_delay_8,0.03333334
31415,tinyqa,baseline,delayed_qa_acc,0.03333334
31415,tinyqa,alc,delayed_qa_acc,0.05000000
31415,tinyqa,alc_no_write,delayed_qa_acc,0.03333334
31415,tinyqa,baseline,qa_acc_mean,0.03333334
31415,tinyqa,alc,qa_acc_mean,0.05000000
31415,tinyqa,alc_no_write,qa_acc_mean,0.03333334
31415,tinyqa,dataset,num_samples,60.00000000
31415,ablation,S4_eta0.05_hard_top1_additive,recall_mse,0.33024499
31415,ablation,S4_eta0.05_hard_top1_gated,recall_mse,0.32703942
31415,ablation,S4_eta0.05_softmax_additive,recall_mse,0.33310768
31415,ablation,S4_eta0.05_softmax_gated,recall_mse,0.28968439
31415,ablation,S4_eta0.05_topk_softmax_additive,recall_mse,0.32583207
31415,ablation,S4_eta0.05_topk_softmax_gated,recall_mse,0.33293045
31415,ablation,S4_eta0.20_hard_top1_additive,recall_mse,0.26747784
31415,ablation,S4_eta0.20_hard_top1_gated,recall_mse,0.28106332
31415,ablation,S4_eta0.20_softmax_additive,recall_mse,0.29961786
31415,ablation,S4_eta0.20_softmax_gated,recall_mse,0.32307407
31415,ablation,S4_eta0.20_topk_softmax_additive,recall_mse,0.29014507
31415,ablation,S4_eta0.20_topk_softmax_gated,recall_mse,0.30841374
31415,ablation,S4_eta0.50_hard_top1_additive,recall_mse,0.33246711
31415,ablation,S4_eta0.50_hard_top1_gated,recall_mse,0.27789786
31415,ablation,S4_eta0.50_softmax_additive,recall_mse,0.27943942
31415,ablation,S4_eta0.50_softmax_gated,recall_mse,0.32624972
31415,ablation,S4_eta0.50_topk_softmax_additive,recall_mse,0.31676191
31415,ablation,S4_eta0.50_topk_softmax_gated,recall_mse,0.27623093
31415,ablation,S8_eta0.05_hard_top1_additive,recall_mse,0.28392643
31415,ablation,S8_eta0.05_hard_top1_gated,recall_mse,0.32024097
31415,ablation,S8_eta0.05_softmax_additive,recall_mse,0.34717122
31415,ablation,S8_eta0.05_softmax_gated,recall_mse,0.36047515
31415,ablation,S8_eta0.05_topk_softmax_additive,recall_mse,0.35904539
31415,ablation,S8_eta0.05_topk_softmax_gated,recall_mse,0.34108180
31415,ablation,S8_eta0.20_hard_top1_additive,recall_mse,0.22852416
31415,ablation,S8_eta0.20_hard_top1_gated,recall_mse,0.28416398
31415,ablation,S8_eta0.20_softmax_additive,recall_mse,0.31191617
31415,ablation,S8_eta0.20_softmax_gated,recall_mse,0.33227757
31415,ablation,S8_eta0.20_topk_softmax_additive,recall_mse,0.30755576
31415,ablation,S8_eta0.20_topk_softmax_gated,recall_mse,0.29406962
31415,ablation,S8_eta0.50_hard_top1_additive,recall_mse,0.42851585
31415,ablation,S8_eta0.50_hard_top1_gated,recall_mse,0.26042897
31415,ablation,S8_eta0.50_softmax_additive,recall_mse,0.31263360
31415,ablation,S8_eta0.50_softmax_gated,recall_mse,0.29915360
31415,ablation,S8_eta0.50_topk_softmax_additive,recall_mse,0.24095526
31415,ablation,S8_eta0.50_topk_softmax_gated,recall_mse,0.29754433
31415,ablation,S16_eta0.05_hard_top1_additive,recall_mse,0.30348465
31415,ablation,S16_eta0.05_hard_top1_gated,recall_mse,0.33963132
31415,ablation,S16_eta0.05_softmax_additive,recall_mse,0.32726333
31415,ablation,S16_eta0.05_softmax_gated,recall_mse,0.28545311
